City_ID,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
210,Lakatoro,VU,2021-03-30 06:09:17,-16.0999,167.4164,82.99,76,21,9.53
211,Hamilton,US,2021-03-30 05:57:21,39.1834,-84.5333,46.4,49,1,11.5
212,Tura,IN,2021-03-30 06:09:17,25.5198,90.2201,89.11,37,22,9.01
213,Szczecin,PL,2021-03-30 06:09:18,53.4289,14.553,52.0,91,30,6.73
214,Leeton,AU,2021-03-30 06:09:18,-34.5667,146.4,75.99,41,82,6.91
215,Ahipara,NZ,2021-03-30 06:01:44,-35.1667,173.1667,67.51,90,98,9.42
216,Abhar,IR,2021-03-30 06:08:35,36.1468,49.218,44.87,47,11,9.33
217,Quirinópolis,BR,2021-03-30 06:09:19,-18.4483,-50.4517,74.68,55,63,4.99
218,Geraldton,AU,2021-03-30 05:56:39,-28.7667,114.6,86.0,54,26,9.22
219,Casino,AU,2021-03-30 06:09:19,-28.8667,153.05,77.0,53,45,9.22
220,Sur,OM,2021-03-30 06:00:51,22.5667,59.5289,91.78,30,2,2.3
221,Haines Junction,CA,2021-03-30 06:02:38,60.7522,-137.5108,24.8,68,100,2.3
222,Tongliao,CN,2021-03-30 06:09:20,43.6125,122.2653,59.54,13,69,5.75
223,Kiryat Gat,IL,2021-03-30 06:09:20,31.61,34.7642,57.99,100,0,1.99
224,Carutapera,BR,2021-03-30 06:09:20,-1.195,-46.02,75.85,93,96,6.38
225,Safi,MA,2021-03-30 06:09:21,32.2994,-9.2372,60.51,80,21,4.99
226,Ossipee,US,2021-03-30 06:09:21,43.6854,-71.1167,28.99,64,2,1.01
227,Kununurra,AU,2021-03-30 06:09:21,-15.7667,128.7333,93.2,31,46,14.97
228,Mehamn,NO,2021-03-30 06:02:43,71.0357,27.8492,35.6,80,75,3.44
229,Karratha,AU,2021-03-30 05:58:02,-20.7377,116.8463,100.24,24,1,14.76
230,Esna,EG,2021-03-30 06:09:22,25.2934,32.554,59.0,58,0,4.61
231,Rocha,UY,2021-03-30 06:01:24,-34.4833,-54.3333,64.2,90,76,8.95
232,Aiquile,BO,2021-03-30 06:09:22,-18.2041,-65.1807,55.29,89,100,2.33
233,Churapcha,RU,2021-03-30 06:09:23,62.0025,132.4325,26.4,75,100,8.41
234,Dalvik,IS,2021-03-30 06:09:23,65.9702,-18.5286,12.2,85,0,3.44
235,Kasiri,SL,2021-03-30 06:09:23,8.9412,-13.1148,80.6,83,75,4.61
236,Thinadhoo,MV,2021-03-30 06:09:24,0.5333,72.9333,84.27,72,96,19.08
237,Tiksi,RU,2021-03-30 06:00:10,71.6872,128.8694,8.31,90,100,5.35
238,Leningradskiy,RU,2021-03-30 06:00:53,69.3833,178.4167,0.07,91,100,18.43
239,Birjand,IR,2021-03-30 06:09:24,32.8663,59.2211,51.8,19,0,4.61
240,Heihe,CN,2021-03-30 06:09:25,50.2441,127.4902,46.4,42,20,11.18
241,Krasne,UA,2021-03-30 06:09:25,49.9145,24.6134,43.0,87,75,4.47
242,Sullia,IN,2021-03-30 06:09:25,12.5667,75.3833,87.8,66,40,4.81
243,Muros,ES,2021-03-30 06:01:50,42.7762,-9.0603,50.0,88,9,4.61
244,Chamba,IN,2021-03-30 06:09:26,32.5667,76.1333,80.28,17,2,7.31
245,Olafsvik,IS,2021-03-30 06:01:52,64.8945,-23.7142,30.76,62,84,11.3
246,Tasiilaq,GL,2021-03-30 06:00:19,65.6145,-37.6368,15.8,48,32,5.75
247,Mazatán,MX,2021-03-30 06:09:26,14.8667,-92.45,78.69,68,1,2.95
248,Maricá,BR,2021-03-30 06:02:23,-22.9194,-42.8186,73.4,94,90,19.57
249,Torbay,CA,2021-03-30 06:01:51,47.6666,-52.7314,36.0,93,90,26.46
250,Bethel,US,2021-03-30 06:00:15,41.3712,-73.414,34.0,60,1,3.44
251,Biak,ID,2021-03-30 06:09:27,-0.9131,122.8766,82.33,74,87,1.25
252,Den Helder,NL,2021-03-30 06:09:27,52.9599,4.7593,43.0,93,90,6.91
253,Cabo San Lucas,MX,2021-03-30 05:59:31,22.8909,-109.9124,66.99,53,100,8.03
254,Mahébourg,MU,2021-03-30 05:58:17,-20.4081,57.7,82.4,78,40,5.75
255,Whitehorse,CA,2021-03-30 06:09:28,60.7161,-135.0538,26.6,63,75,10.36
256,Bontang,ID,2021-03-30 05:58:04,0.1333,117.5,84.24,76,100,4.47
257,Saku,JP,2021-03-30 06:09:28,36.2167,138.4833,73.99,25,75,8.05
258,Caravelas,BR,2021-03-30 05:58:21,-17.7125,-39.2481,74.3,84,1,6.31
259,Marana,US,2021-03-30 06:09:29,32.4367,-111.2254,69.8,13,1,5.77
260,Lüderitz,NA,2021-03-30 06:01:21,-26.6481,15.1594,62.6,75,0,8.59
261,Dubti,ET,2021-03-30 06:09:29,11.7361,41.0853,88.05,21,9,6.15
262,Kasulu,TZ,2021-03-30 06:09:30,-4.5767,30.1025,68.0,100,75,2.3
263,Jutaí,BR,2021-03-30 06:09:30,-5.1833,-68.9,71.38,99,96,2.48
264,Vladimirescu,RO,2021-03-30 06:09:30,46.15,21.4,48.0,71,0,2.3
265,Timóteo,BR,2021-03-30 06:09:31,-19.5825,-42.6444,69.01,93,84,1.61
266,Birin,NP,2021-03-30 06:09:31,26.8865,88.0718,77.43,15,55,7.05
267,Yellowknife,CA,2021-03-30 06:01:09,62.456,-114.3525,-7.6,59,1,4.61
268,Río Gallegos,AR,2021-03-30 05:57:56,-51.6226,-69.2181,48.2,81,0,2.3
269,Charleston,US,2021-03-30 06:09:32,32.7766,-79.9309,54.0,87,1,7.92
270,Dandong,CN,2021-03-30 05:56:10,40.1292,124.3947,62.1,19,30,3.85
271,Stralsund,DE,2021-03-30 06:09:32,54.3091,13.0818,46.99,90,8,1.99
272,Svarstad,NO,2021-03-30 06:09:33,59.399,9.9698,45.0,100,75,11.5
273,San Miguel de Tucumán,AR,2021-03-30 06:01:40,-26.8241,-65.2226,66.2,82,0,2.68
274,Hoquiam,US,2021-03-30 06:09:33,46.9809,-123.8893,43.0,81,1,3.44
275,Matara,LK,2021-03-30 06:09:33,5.9485,80.5353,80.46,75,100,8.57
276,Ambilobe,MG,2021-03-30 06:02:27,-13.2,49.05,82.33,77,48,3.62
277,Vardø,NO,2021-03-30 06:01:25,70.3705,31.1107,32.0,100,75,6.91
278,Dicabisagan,PH,2021-03-30 06:09:34,17.0818,122.4157,86.68,63,8,8.12
279,Salas,ES,2021-03-30 06:09:34,43.4118,-6.2602,60.8,51,0,8.05
280,Iberia,US,2021-03-30 06:09:35,29.9502,-91.7507,62.01,94,1,4.61
281,Ardakān,IR,2021-03-30 06:09:35,32.31,54.0175,55.4,21,0,6.91
282,Nanortalik,GL,2021-03-30 06:00:47,60.1432,-45.2371,29.21,85,100,21.14
283,Macklin,CA,2021-03-30 06:09:35,52.3334,-109.9348,17.6,79,99,28.77
284,Yārāda,IN,2021-03-30 06:09:36,17.65,83.2667,90.43,55,8,18.92
285,Richards Bay,ZA,2021-03-30 05:56:32,-28.783,32.0377,68.67,79,60,5.12
286,Rawson,AR,2021-03-30 06:00:50,-43.3002,-65.1023,60.91,83,8,20.22
287,Acaraú,BR,2021-03-30 06:09:36,-2.8856,-40.12,76.26,88,63,3.53
288,Port Blair,IN,2021-03-30 05:56:21,11.6667,92.75,84.27,66,98,6.29
289,Bowmore,US,2021-03-30 06:09:37,34.9421,-79.3031,48.2,71,1,5.57
290,Kamina,CD,2021-03-30 06:09:37,-8.7386,24.9906,65.41,89,98,2.75
291,Dire Dawa,ET,2021-03-30 06:09:37,9.5931,41.8661,81.43,30,62,7.38
